SMILES,CID (canonical),CDD_mol_ID,f_avg_IC50,f_avg_pIC50,f_curve_IC50,f_max_inhibition_reading,f_min_inhibition_reading,f_hill_slope,f_R2,f_concentration_uM,f_inhibition_list
COc1ccccc1OCC(C)NC(=O)c1cc(=O)[nH]c2cc(F)ccc12,MAT-POS-590ac91e-40,76390070,32.97414669860779,4.481826434261687,"[40.478017285169514, 26.861353974955556]","[57.172415, 61.392154999999995]","[-5.7456890000000005, -2.6272395000000004]","[0.755002293212413, 0.6963805786756877]","[0.9045570826154774, 0.9375148801395695]","[[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4], [99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]]","[[56.94828, 24.35345, 61.76724, 0.6465517, 50.82759, -5.560345, 38.68103, -1.534483, 21.41379, 10.18966, 8.905172, -2.801724, 8.103448, -2.405172, 7.353448, 3.37931, -5.474138, 7.474138, -9.086206, -11.03448, 54.85345, 52.57759, 44.51724, 28.76724], [62.13701, 30.32226, 64.26395, 9.796249, 60.14143, 11.61855, 44.65748, 4.76816, 27.21988, -3.02412, 17.97703, 0.4220353, 9.374214, 0.609296, 2.344951, 3.507644, 0.1956455, 2.769781, -5.863775, -4.578104, 55.09657, 58.52036, 56.37385, 40.20794]]"
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cc(F)ccc12,MAT-POS-590ac91e-32,76390061,99.49999999999997,,"[99, 99]","[35.331895, 31.61072]","[-26.163790000000002, -2.6957155]","[0.9247199485838968, 0.6184061063651415]","[0.49014889874955503, 0.7585059902524895]","[[0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05], [0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05]]","[[-12.10345, -12.53448, -18.52586, -7.896552, 27.7069, 33.75862, 27.40517, 20.56897, 37.30172, 7.405172, 36.90517, 8.336206, 25.84483, -6.767241, 13.82759, -9.198276, -3.37069, -15.74138, -12.21552, -13.93966, -32.87069, -33.80172, -26.2069, -22.09483], [3.957629, 5.100758, 14.06412, 4.181224, 32.15574, 28.20929, 33.91654, 18.44658, 27.23385, 11.39775, 32.69236, 2.8145, 29.3049, -4.675927, 15.43922, -3.015736, 5.083988, -5.5731020000000004, -4.854803, -5.123117, 4.105761, -5.00573, -2.375695, -4.368484]]"
Cc1ccncc1NC(=O)Cc1cccc(F)c1,ALP-POS-95b75b4d-1,76346376,95.8330784284157,4.018484560865628,"[96.8711867033273, 94.80609491440698]","[48.724135000000004, 52.342155000000005]","[-8.89655295, -4.056849]","[1.7428500714943451, 0.8793720373668409]","[0.8061906960459866, 0.6679001036521106]","[[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4], [99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]]","[[53.03448, -9.775862, 30.9569, -13.78448, 10.39655, -17.34483, 8.362069, -7.241379, -3.663793, -12.66379, -1.62931, -4.413793, -0.4482759, -3.689655, 5.094828, 6.87931, -0.4224138, 5.758621, -12.0431, -6.982759, 44.41379, 27.55172, 0.4482759, -3.87931], [55.31457, 17.14134, 39.43654, 5.047654, 30.14058, 7.19137, 16.04014, 5.044859, 4.849213, -0.5394226, -2.987786, 46.6866, -2.504262, -1.168283, 0.9279186, -0.6791694, -0.6679896, 0.1145924, -6.945415, 5.701669, 49.36974, 31.63308, 14.18709, 12.42628]]"
O=C(CCl)N1CCN(C(c2ccccc2)C2CCOCC2)CC1,GIA-UNK-20b63697-2,75709411,20.726390543875027,4.683476322766921,"[28.40297726364722, 15.124585742884534]","[79.53017, 89.06481500000001]","[-25.728445, -0.5687694999999999]","[1.3023367521744234, 1.1670957659201673]","[0.8546189729949718, 0.9209009113760763]","[[0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05], [0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05]]","[[-9.051724, -19.9569, -20.0431, -9.827586, 80.93965, 67.34483, 48.41379, 35.14655, 78.12069, 20.11207, 66.12931, 11.37069, 44.90517, -6.310345, 26.19828, -11.46552, 9.068966, -18.73276, -5.232759, -16.33621, -6.982759, -31.41379, -16.23276, -24.13793], [2.683138, 4.533386, 6.828028, 3.778753, 88.82585, 79.9631, 66.75145, 48.29928, 89.30378, 32.59174, 79.82616, 13.56382, 62.61774, 3.862601, 42.23707, 0.3409821, 26.83977, -3.820677, 7.19137, -3.661366, 3.404232, -3.365103, 13.55264, 39.94522]]"
Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-22,76346453,96.9383202483582,4.013504510022682,"[95.81098673002681, 98.07891822523378]","[49.11207, 52.866209999999995]","[-11.5603425, -2.9444644500000003]","[1.744850621940716, 0.5912350201708094]","[0.7324373458759215, 0.628261732269572]","[[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4], [99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]]","[[52.90517, -1.008621, 29.62931, -16.78448, 9.646552, -19.68103, 4.474138, -12.12931, -7.189655, -19.43966, -5.267241, -8.293103, -3.439655, -6.827586, 3.75, 3.068965, 2.551724, 1.258621, -13.94828, -22.53448, 45.31897, 29.84483, 1.336207, -1.939655], [56.16703, 9.966741, 39.13469, 7.716817, 32.11381, 35.65779, 15.29948, 1.853042, 6.990134, 0.5729618, 1.159898, -2.314207, 0.5506023, -0.9167389, 1.93689, 0.1257721, -1.428212, 22.11353, -4.97219, -4.491461, 49.56539, 33.01657, 17.74225, 64.16334]]"
CCCC(C(=O)Nc1cnccc1C)c1cccc(Cl)c1,JAN-GHE-83b26c96-8,76346462,17.31034561223188,4.761694261068178,"[17.88260419046654, 16.756399796326196]","[84.607755, 85.892565]","[-26.560344999999998, -0.5506025000000001]","[1.2925529143979408, 1.1261541929994148]","[0.8735433139497769, 0.979271944358691]","[[0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05], [0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05]]","[[-12.91379, -18.0431, -21.62069, -13.09483, 84.14655, 74.68965, 60.36207, 47.34483, 85.06896, 33.93103, 76.81034, 16.53448, 58.26724, -1.198276, 41.81034, -5.086207, 23.00862, -15.19828, -1.465517, -17.34483, -17.5, -31.5, -13.33621, -23.49138], [4.611644, 6.059421, 10.38319, 8.049415, 84.79555, 75.9915, 62.07832, 44.65189, 86.98958, 31.43185, 78.21627, 13.05514, 60.48241, 6.509405, 43.45845, 1.422622, 23.402, -3.580312, 8.161212, -6.735795, 4.175634, -4.877162, -0.4695492, -9.15062]]"
O=C(CCl)N1CCN(C2(c3cccc(Cl)c3)CC2)CC1,MED-COV-4280ac29-12,75710860,52.26108658378607,4.281821564902672,"[64.94147598501083, 42.05665377159549]","[63.293105, 69.30881500000001]","[-19.504312, -2.966824]","[1.6287890254100952, 0.8666010632388643]","[0.8241857926727552, 0.8136386813968406]","[[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4], [99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]]","[[66.38793, -0.9137931, 44.81034, -16.94828, 22.68103, -19.69828, 11.06897, -12.19828, -0.3793103, -12.26724, -1.258621, -6.482759, -0.1810345, -1.887931, 2.181035, -30.33621, -2.862069, 3.741379, -11.09483, -8.672414, 60.19828, 41.4569, 14.68103, -3.905172], [73.15465, 21.37846, 58.85016, 7.509992, 42.00788, 8.194751, 27.06057, 9.835379, 15.41407, 18.41862, 2.3729, 1.419827, 2.998966, -1.335979, 11.13502, 40.30297, -1.771989, -0.1676961, -4.597669, 2.915118, 65.46298, 51.23117, 32.77341, 19.20121]]"
Cc1cccc(C2CN(C(=O)CCl)Cc3ccccc32)c1,NIR-THE-c331be7a-6,75711134,2.0041245685457474,5.698075287919214,[2.0041245685457474],[99.09322],[0.20273500000000022],[1.3126019406820624],[0.9908858995029927],"[[0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38, 99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02]]","[[18.91518, 6.375097, 12.20649, 2.257731, 98.8186, 98.88127, 97.44738, 93.54381, 99.36784, 85.13952, 98.78175, 55.09049, 97.35892, 37.96859, 93.65807, 22.53861, 86.84618, 5.623134, 56.63496, -3.628958, 40.15445, -4.321943, 25.6423, -4.19293]]"
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(Cl)c1,LON-WEI-babf2c61-1,77089725,11.479769015703447,4.940066850284266,[11.479769015703447],[71.489915],[-8.5425205],[0.7984891052728652],[0.9459719413618575],"[[99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02, 0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38]]","[[72.47042, 40.55623, 72.20133, 25.76763, 70.17398, 15.73777, 63.32154, 8.479856, 53.07051, 1.000774, 18.39176, -1.605293, 10.41874, -6.880091, 5.460946, -0.9233661, -2.814332, 1.417302, -10.20495, -5.92908, 70.50941, 70.19978, 66.93022, 56.67183]]"
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(Cl)c1,LON-WEI-babf2c61-5,77089734,23.92150564446178,4.621211488876659,[23.921505644461778],[83.69087999999999],[-4.627889],[1.1012761390161814],[0.9767783628367553],"[[0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38, 99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02]]","[[3.256663, 7.097571, -1.903867, 0.8127834, 87.74927, 63.08931, 52.60607, 37.58524, 79.63249, 21.25585, 66.35519, 12.50138, 52.14162, -2.125032, 35.81223, 0.8975635, 19.54919, -3.278779, 4.251907, -5.545726, -2.442036, -7.351911, 4.532051, -7.149176]]"
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(C)c1,LON-WEI-babf2c61-2,77089727,11.618053988196795,4.93486660972229,[11.618053988196797],[87.200045],[-2.1268755],[0.9328686954144861],[0.9290311303628697],"[[99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02, 0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38]]","[[87.95569, 40.90273, 84.4023, 22.19212, 69.95282, 11.85632, 55.6987, 9.143352, 36.78167, 41.96063, 12.41292, 4.045486, 9.253935, 2.954403, 3.798518, -2.272476, -1.432047, 2.073427, -7.208154, -2.41992, 86.4444, 81.52715, 64.43105, 45.05326]]"
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(C)c1,LON-WEI-babf2c61-6,77089735,24.30920597347362,4.614229226552416,[24.309205973473624],[80.235175],[-1.78406855],[1.1046330777528695],[0.9885201414311592],"[[0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38, 99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02]]","[[3.219802, 5.803752, -0.5252681, 0.8312138, 78.79207, 67.21037, 53.77824, 35.8196, 81.67828, 21.21899, 70.47624, 10.70625, 49.30333, 3.072358, 32.35836, -0.9417966, 17.84622, -5.56047, 6.09864, -5.424085, 3.547864, -3.042869, -1.774853, -2.235615]]"
COc1ccccc1OCC(C)NC(=O)c1cc(=O)[nH]c2ccc(F)cc12,MAT-POS-590ac91e-41,76390071,16.441390706958302,4.784061450128491,[16.441390706958305],[74.464595],[-3.7376975000000003],[0.6892138653573753],[0.8435393677243486],"[[99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02, 0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38]]","[[62.776, 38.24874, 77.22916, 19.64872, 67.56055, 12.59353, 53.45387, 8.372959, 39.73055, 3.241918, 16.93944, -2.681632, 7.569391, -1.303034, 3.695307, -1.369383, 6.986988, 23.33112, -6.172361, 27.72863, 53.37646, 71.70003, 64.11404, 46.90737]]"
O=C(Cc1cccc(Cl)c1)Nn1cnc2ccccc21,JAN-GHE-5a013bed-2,76346430,8.303468024158425,5.080740482421092,[8.303468024158425],[94.81551],[-1.3749125],[1.0822193661471466],[0.9895588419462417],"[[0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38, 99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02]]","[[10.26024, 6.345608, 2.5047, 3.050241, 93.05356, 87.70504, 76.3961, 61.94662, 96.57746, 49.67194, 89.70659, 27.65859, 73.2187, 14.0348, 58.58491, 0.1087397, 44.55564, 4.347746, 18.26643, -5.177117, 14.14907, -5.254525, 5.877474, 2.331453]]"
Cc1nnn(NC(=O)Cc2cccc(Cl)c2)c1C,JAN-GHE-5a013bed-1,76346427,14.162565202838712,4.848858077681565,[14.162565202838712],[90.3535],[-0.9961664100000001],[1.0774039810581555],[0.9655899804029296],"[[99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02, 0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38]]","[[91.61967, 35.16348, 82.89838, 17.32648, 63.59062, 12.50138, 60.98455, 8.892697, 28.65384, 2.073427, 10.86476, 0.09399536, 4.414095, 18.53183, -2.102916, -4.030742, 0.2746139, 1.959158, -3.581039, -2.007077, 89.08733, 78.57458, 58.49276, 37.34196]]"
O=C(Cc1cccc(Cl)c1)Nn1cnc2ccccc2c1=O,JAN-GHE-5a013bed-3,76346431,8.645464173907452,5.063211684546805,[8.645464173907452],[93.053555],[0.7519634999999999],[1.0883684329060996],[0.9856982297364125],"[[0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38, 99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02]]","[[11.91898, 10.81684, 6.857975, 3.599469, 91.9809, 85.85831, 75.83582, 59.11571, 94.12621, 48.37443, 88.28744, 23.55966, 75.77316, 12.3908, 61.24627, 6.080209, 43.45718, 0.4920933, 16.64824, -9.552508, 10.92005, -3.625272, 8.188654, -1.855947]]"
Cc1ccncc1NC(=O)CC(C)C(C)C,MAT-POS-590ac91e-11,76390038,99.03000000000002,,[99],[8.9350875],[-3.072358],[0.3991481484609604],[0.22952041963371017],"[[99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02, 0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38]]","[[14.26702, 7.694718, 10.95322, 10.93848, 5.615762, 1.232998, 4.314571, 4.307199, -1.889122, 2.821704, 0.03501788, -1.962844, 7.982233, -1.446791, -0.8680747, 0.8975635, 0.5473847, 2.777471, -4.697925, -5.951196, 3.603155, -0.3225331, -0.7095728, -2.932287]]"
O=C(Cc1cccc(Cl)c1)Nc1nnn[nH]1,JAN-GHE-5a013bed-11,76346429,45.286709431222555,4.344029234357449,[45.28670943122255],[72.42987],[-1.24589945],[1.2600683029846602],[0.9632602492618444],"[[0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38, 99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02]]","[[13.62564, 9.644661, 5.578901, 0.8754469, 70.86697, 52.17848, 30.62958, 17.06845, 73.99277, 11.34764, 57.02938, 7.915883, 27.37108, -1.538944, 18.54289, -2.965461, 8.306609, -4.270338, -0.2045781, -4.68318, -0.9528549, -3.179255, 2.324081, -2.69269]]"
COc1cc(Cl)cc(OC(=O)Nc2cccnc2)c1,AGN-NEW-891393a6-1,75708175,6.650049500718334,5.177175121943691,[6.650049500718334],[93.40005],[-0.6616535000000001],[1.0361453563472653],[0.9760626332837201],"[[99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02, 0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38]]","[[93.56961, 58.14995, 87.55022, 31.58797, 79.35604, 18.95573, 68.95389, 6.135501, 53.50916, 4.686866, 24.65443, 2.298279, 9.983781, 22.53861, 10.44454, -2.043938, 0.997088, 1.970216, -4.963323, -4.871171, 93.23049, 87.81562, 75.77316, 63.10406]]"
O=C(CCl)N1CCC(c2nc(-c3cccnc3)nc3ccccc23)CC1,WAR-XCH-b0339bbe-19,75711908,18.175217572366563,4.740520381574143,[18.175217572366563],[89.046895],[-11.085854999999999],[1.1801746747912052],[0.9726974157844244],"[[99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02, 0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38]]","[[91.75289, 31.56995, 80.6525, 13.42087, 62.55433, 3.775301, 45.09629, 6.641328, 24.24485, -1.978577, 10.75124, -1.520304, -0.9129099, -8.05252, 2.7751, 0.1163869, -4.673662, -1.654876, -14.11919, -5.877539, 86.3409, 75.67696, 49.63174, 31.34081]]"
Cc1cccc(CC2CCN(C(=O)CCl)CC2)c1,MAK-UNK-af83ef51-6,75710652,14.724751238932003,4.831952033482913,[14.724751238932004],[94.306135],[-6.8468255],[1.413141647201265],[0.982050939618341],"[[0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38, 99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02]]","[[4.546364, 8.674462, -1.123861, 1.862191, 93.75694, 83.18755, 62.75801, 50.40644, 94.85533, 30.04965, 85.35889, 11.62778, 67.8172, -2.520504, 42.30664, -1.88765, 25.34325, -2.164069, 9.416429, -5.397443, -4.466348, -12.56979, 0.1964029, -3.771663]]"
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,LON-WEI-babf2c61-9,77089741,20.12026643680137,4.696366272559128,[20.120266436801366],[90.39262500000001],[-11.565949499999999],[1.291328638174969],[0.9221611424566328],"[[99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02, 0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38]]","[[90.87636, 26.83809, 76.98267, 13.83913, 57.1678, 1.345724, 37.63662, 6.583135, 17.8072, 9.740129, 6.150321, -1.102039, -6.979578, -8.790849, 0.4619105, 35.00336, -3.771663, 3.02606, -14.34105, -5.175581, 89.90889, 73.73111, 55.02191, 31.66088]]"
CC(=O)NCCc1c[nH]c2c(CN3CCN(C(=O)CCl)CC3)cccc12,DUN-NEW-f8ce3686-24,75709255,17.360829751983612,4.760429521780716,[17.360829751983612],[88.35585],[-8.3762225],[1.2999481315561574],[0.9700235260147011],"[[0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38, 99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02]]","[[4.491807, 8.459874, -3.018785, 1.578498, 85.74805, 71.66525, 60.89218, 42.72491, 90.96365, 25.4269, 78.99034, 11.20588, 66.24961, -6.484933, 42.02295, -0.9347324, 24.60492, -9.121824, 4.830057, -7.492407, -4.317227, -13.73366, -2.636891, -2.058594]]"
O=C(NCc1ccc(Cl)cc1CN1CCN(C(=O)CCl)CC1)[C@@H]1CCCOC1,STU-CHA-7b3b91d5-1,75711665,12.113238680688609,4.9167397253042155,[12.113238680688609],[87.92122],[-9.072725],[1.0265014622383792],[0.9803296893341596],"[[99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02, 0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38]]","[[89.23239, 40.86999, 82.8202, 21.95712, 69.82124, 12.86803, 55.64022, 8.845406, 37.44022, -1.072942, 16.25052, -2.171343, 3.233374, -4.88825, 4.095365, -3.88805, -1.51303, -3.182455, -13.2572, -6.965029, 86.61005, 79.12128, 63.48179, 45.91827]]"
NS(=O)(=O)c1ccc2c(c1)CN(CC1CCN(C(=O)CCl)CC1)CC2,STU-CHA-83dacf15-1,75711668,19.540065638940796,4.709073981733832,[19.5400656389408],[85.822625],[-3.8298574999999997],[1.2116921959868872],[0.9722201149591301],"[[0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38, 99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02]]","[[4.262671, 4.051719, 5.382895, 0.4182655, 86.58096, 75.17139, 57.96432, 41.87746, 85.06429, 27.91831, 75.60057, 12.28246, 53.31248, -3.775301, 36.60005, -3.858953, 22.62271, -8.801761, 6.386732, -6.994126, -3.266108, -13.04261, -0.9056357, -7.328738]]"
CC(NC(=O)CCl)c1cc(Cl)cc(-c2ccc(S(N)(=O)=O)cc2)c1,DAV-CRI-14a23e73-1,75709006,0.46574984611393666,6.331847279924751,[0.46574984611393666],[98.598675],[-5.185450000000001],[1.2722069839942218],[0.9515989589492331],"[[0.396, 0.02, 0.099, 0.02, 99.0, 49.5, 24.8, 12.4, 99.0, 7.43, 49.5, 2.48, 24.8, 1.55, 12.4, 0.773, 7.43, 0.396, 2.48, 0.02, 1.55, 0.099, 0.773, 0.02]]","[[45.17044, 10.92699, 21.09214, 14.0188, 99.06578, 97.98698, 98.80999, 96.21865, 98.00923, 98.87672, 99.21037, 83.31758, 98.13157, 87.14341, 97.57549, 61.04098, 95.91837, 41.74498, 87.36584, -33.43713, 88.50025, 13.96319, 66.64628, -12.25046]]"
CCOC(=O)c1nc(S(C)(=O)=O)ncc1Cl,LON-WEI-ff7b210a-5,77312258,1.600983765922041,5.7956130718322445,[1.600983765922041],[98.12601000000001],[-39.987767],[3.323486082553442],[0.807148963232063],"[[99.0, 7.43, 49.5, 2.48, 24.8, 1.55, 12.4, 0.773, 7.43, 0.396, 2.48, 0.02, 1.55, 0.099, 0.773, 0.02, 0.396, 0.02, 0.099, 0.02, 99.0, 49.5, 24.8, 12.4]]","[[97.76456, 98.1983, 98.56532, 79.881, 97.43091, 61.86398, 98.89896, -5.92226, 93.78302, 3.275316, 59.63966, -8.847244, 53.65623, 17.59995, 10.08174, 11.43858, -83.25085, -17.85575, -76.07741, 1.340155, 96.63015, 95.66257, 97.84241, 97.35306]]"
CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccccc2Cc2ccccc2)n1,LON-WEI-ff7b210a-4,77312257,0.46862286441185175,6.32917652571419,[0.46862286441185175],[98.85446999999999],[-9.00850775],[1.804296635736932],[0.9158716772258169],"[[0.396, 0.02, 0.099, 0.02, 99.0, 49.5, 24.8, 12.4, 99.0, 7.43, 49.5, 2.48, 24.8, 1.55, 12.4, 0.773, 7.43, 0.396, 2.48, 0.02, 1.55, 0.099, 0.773, 0.02]]","[[43.0907, 1.217817, -9.770339, 13.42935, 97.65334, 97.57549, 97.61997, 99.3327, 93.30479, 98.67653, 96.17416, 90.01279, 97.58661, 93.04899, 98.37624, 74.89851, 98.55419, 49.96386, 94.35022, -56.95935, 80.81522, 6.723016, 66.05683, 6.278152]]"
N#Cc1cccc(C2CN(C(=O)CCl)Cc3ccccc32)c1,NIR-THE-c331be7a-2,75711132,1.172090118878279,5.931038995291563,[1.172090118878279],[98.83779000000001],[1.6960462500000002],[1.4774098538278455],[0.9644712083509901],"[[99.0, 7.43, 49.5, 2.48, 24.8, 1.55, 12.4, 0.773, 7.43, 0.396, 2.48, 0.02, 1.55, 0.099, 0.773, 0.02, 0.396, 0.02, 0.099, 0.02, 99.0, 49.5, 24.8, 12.4]]","[[97.86465, 98.07596, 99.38831, 65.08925, 98.43185, 72.54073, 98.5097, 8.357894, 94.93967, 22.0486, 70.37202, 7.757326, 67.64722, 2.96391, 46.76083, 2.430073, 18.50081, 6.022355, 5.900017, -9.425569, 99.13251, 98.28727, 98.354, 98.34288]]"
