Molecule Name,CDD Number,SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Standard Deviation (×/÷),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Count,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg pIC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LE avg IC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LLE
CVD-0015757,,CSCCCNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,3.85,3.85,,1,5.4,0.23,1.99
CVD-0015755,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCC(=O)OCc1ccccc1)c1cccnc1)C(=O)c1cocn1,9.92,9.92,,1,5,0.18,1.24
CVD-0015754,,CC(C)(C)OC(=O)N1CC(C1)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,6.91,6.91,,1,5.2,0.185,1.94
CVD-0015753,,Cc1ccc(cc1)S(=O)(=O)CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,62.9,62.9,,1,4.2,0.151,0.522
CVD-0015752,,COc1ccc(NC(=O)C(N(C(=O)c2cocn2)c2ccc(cc2)C(C)(C)C)c2cccnc2)cn1,5.37,5.37,,1,5.3,0.205,1.62
CVD-0015751,,COC(=O)[C@@H]1C[C@@H](CN1C(=O)OC(C)(C)C)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,2.66,2.66,,1,5.6,0.177,2.46
CVD-0015750,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NC1CC(F)(F)C1)c1cccnc1)C(=O)c1cocn1,2.35,2.35,,1,5.6,0.232,2.08
CVD-0015749,,CC(C)(C)OC(=O)CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,8.18,8.18,,1,5.1,0.198,1.99
CVD-0015748,,COC(=O)[C@H]1C[C@H](CN1C(=O)OC(C)(C)C)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,5.32,5.32,,1,5.3,0.168,2.16
CVD-0015747,,COC(=O)C1(CCCC1)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,5.26,5.26,,1,5.3,0.2,1.66
CVD-0015745,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NC1COC1)c1cccnc1)C(=O)c1cocn1,4.07,4.07,,1,5.4,0.236,3.13
CVD-0015744,,COC(=O)CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,10.8,10.8,,1,5,0.211,2.93
CVD-0015743,,CCOC(=O)CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,9.53,9.53,,1,5,0.207,2.62
CVD-0015742,,COCCNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,8.46,8.46,,1,5.1,0.222,2.7
CVD-0015741,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NC1CCOC1)c1cccnc1)C(=O)c1cocn1,2.77,2.77,,1,5.6,0.236,3.24
CVD-0015740,,COC(CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1)OC,7.91,7.91,,1,5.1,0.21,2.45
CVD-0015738,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCC1CCCO1)c1cccnc1)C(=O)c1cocn1,5.15,5.15,,1,5.3,0.218,2.45
CVD-0015737,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCC1CCOC1)c1cccnc1)C(=O)c1cocn1,5.42,5.42,,1,5.3,0.217,2.83
CVD-0015736,,CC(C)(C)OC(=O)N1CCC(C1)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,3.65,3.65,,1,5.4,0.19,2.16
CVD-0015735,,COC(=O)[C@H]1C[C@@H](CN1C(=O)OC(C)(C)C)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,0.837,0.837,,1,6.1,0.193,2.96
CVD-0015734,,COC(=O)[C@@H]1C[C@H](CN1C(=O)OC(C)(C)C)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,6.82,6.82,,1,5.2,0.164,2.05
CVD-0015731,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCC(=O)Nc1cccc(c1)[N+]([O-])=O)c1cccnc1)C(=O)c1cocn1,14.4,14.4,,1,4.8,0.165,1.57
CVD-0015730,,CC(C)(C)OC(=O)NCCNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,6.26,6.26,,1,5.2,0.192,2.09
CVD-0015728,,CCOC(=O)CCNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,2.8,2.8,,1,5.6,0.222,2.92
CVD-0015727,,CSCCNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,2.45,2.45,,1,5.6,0.245,2.4
CVD-0015726,,COC(=O)C1CC(C1)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,3.99,3.99,,1,5.4,0.21,2.71
CVD-0015724,,CC(C)(C)OC(=O)NCCCNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,3.39,3.39,,1,5.5,0.196,2.3
CVD-0015721,,CN(C)C(=O)CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,29.2,29.2,,1,4.5,0.187,3
CVD-0015720,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NC1CCOCC1)c1cccnc1)C(=O)c1cocn1,3.9,3.9,,1,5.4,0.223,3.03
CVD-0015719,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCc1ccncc1)c1cccnc1)C(=O)c1cocn1,> 99.5,> 99.5,,1,< 4.0,< 0.160,< 1.08
CVD-0015717,,COC(=O)[C@@H]1CC[C@@H](C1)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,2.38,2.38,,1,5.6,0.213,2.48
CVD-0015716,,COC(=O)C(C)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,7.18,7.18,,1,5.1,0.212,2.54
CVD-0015715,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCc1cccnc1)c1cccnc1)C(=O)c1cocn1,25.3,25.3,,1,4.6,0.184,1.67
CVD-0015714,,COCCCNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,8.79,8.79,,1,5.1,0.215,2.63
CVD-0015683,,Cn1ccc(CNCC2(CCOc3ccc(Cl)cc23)C(=O)Nc2cncc3ccccc23)n1,0.803,0.803,,1,6.1,0.259,2.93
CVD-0015663,,COC(=O)\C=C\C(=O)N(C(=O)[C@H]1CCOc2ccc(Cl)cc12)c1cncc2ccccc12,4.36,4.36,,1,5.4,0.235,1.84
CVD-0015662,,OCC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,1.09,1.09,,1,6,0.321,3.36
CVD-0015661,,O[C@@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,> 99.5,> 99.5,,1,< 4.0,< 0.224,< 1.49
CVD-0015503,,CCOc1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,15.5,15.5,,1,4.8,0.187,1.59
CVD-0015499,,Fc1cccc(CCNC(=O)C(N(C(=O)c2cocn2)c2cnc(nc2)C2CCC2)c2cccnc2)c1,69.1,69.1,,1,4.2,0.157,1.43
CVD-0015496,,Fc1cccc(CCNC(=O)C(N(C2CCC3OCCC3C2)C(=O)c2cocn2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.156,< 1.69
CVD-0015494,,CC(N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1)c1ccccc1C,> 99.5,> 99.5,,1,< 4.0,< 0.156,< -0.0206
CVD-0015493,,Fc1cccc(CCNC(=O)C(N(C2COC3(CCCC3)C2)C(=O)c2cocn2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.156,< 1.45
CVD-0015492,,Fc1cccc(CCNC(=O)C(N(C2CCC3(CCO3)CC2)C(=O)c2cocn2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.156,< 1.77
CVD-0015491,,Fc1cccc(CCNC(=O)C(N([C@H]2C[C@@H](C2)Oc2ccccc2)C(=O)c2cocn2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.147,< 0.922
CVD-0015486,,COc1cc(ccc1S(=O)(=O)N(C)C)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,> 99.5,> 99.5,,1,< 4.0,< 0.137,< 2.08
CVD-0015485,,CCOc1ccc(cn1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,> 99.5,> 99.5,,1,< 4.0,< 0.156,< 1.40
CVD-0015484,,COc1cc(C)ccc1CN(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,> 99.5,> 99.5,,1,< 4.0,< 0.151,< 0.554
CVD-0015483,,Fc1cccc(CCNC(=O)C(N(C(=O)c2cocn2)c2ccc3COCCc3c2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.151,< 1.06
CVD-0015481,,CN1CCCC(C1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,> 99.5,> 99.5,,1,< 4.0,< 0.165,< 2.15
CVD-0015477,,Cc1ccccc1CN(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,> 99.5,> 99.5,,1,< 4.0,< 0.160,< 0.396
CVD-0015476,,COc1ccccc1CN(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,> 99.5,> 99.5,,1,< 4.0,< 0.156,< 1.07
CVD-0015473,,Fc1cccc(CCNC(=O)C(N(C(=O)c2cocn2)c2ccc(nc2)C(F)(F)F)c2cccnc2)c1,36.4,36.4,,1,4.4,0.168,1.37
CVD-0015472,,Fc1cccc(CCNC(=O)C(N(C(=O)c2cocn2)c2ccc3scnc3c2)c2cccnc2)c1,84,84,,1,4.1,0.159,0.909
CVD-0015471,,Fc1cccc(CCNC(=O)C(N(C(=O)c2cocn2)c2cn(Cc3ccccc3)cn2)c2cccnc2)c1,27.3,27.3,,1,4.6,0.164,1.11
CVD-0015470,,COCc1csc(n1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,> 99.5,> 99.5,,1,< 4.0,< 0.160,< 1.68
CVD-0015469,,Fc1ccc2C(COc2c1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,> 99.5,> 99.5,,1,< 4.0,< 0.151,< 1.04
CVD-0015468,,Fc1cccc(CCNC(=O)C(N(C(=O)c2cocn2)c2ccc(OC3CCOC3)cc2)c2cccnc2)c1,6.32,6.32,,1,5.2,0.187,2.43
CVD-0015467,,Fc1cccc(CCNC(=O)C(N(C2CCN(C2)c2ccccc2)C(=O)c2cocn2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.147,< 0.776
CVD-0015466,,FC(F)CN1C(=O)CCc2cc(ccc12)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,24.5,24.5,,1,4.6,0.154,1.71
CVD-0015465,,Fc1cccc(CCNC(=O)C(N(C2Cc3ccccc23)C(=O)c2cocn2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.160,< 0.810
