Molecule Name,CDD Number,SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Standard Deviation (×/÷),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Count,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg pIC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LE avg IC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LLE
CVD-0015359,,Fc1ccc2cncc(NC(=O)[C@H]3CCOc4ccc(Cl)cc34)c2c1,92.1,92.1,,1,4,0.226,0.56
CVD-0015358,,Fc1ccc2cncc(NC(=O)[C@@H]3CCOc4ccc(Cl)cc34)c2c1,0.321,0.322,1.01,2,6.5,0.364,3.02
CVD-0015358,,Fc1ccc2cncc(NC(=O)[C@@H]3CCOc4ccc(Cl)cc34)c2c1,0.324,0.322,1.01,2,6.5,0.364,3.02
CVD-0015357,,Clc1ccc2OCC[C@@]3(NC(=O)N(C3=O)c3cncc4ccccc34)c2c1,0.692,0.692,,1,6.2,0.319,3.61
CVD-0015342,,COC1(CCOc2cc(Cl)c(Cl)cc12)C(=O)Nc1cncc2ccccc12,0.545,0.545,,1,6.3,0.325,2.5
CVD-0015339,,CO[C@@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,38.5,38.5,,1,4.4,0.238,1.26
CVD-0015337,,Clc1ccc(CC(=O)Nc2cncc3ccncc23)cc1Cl,1.79,1.79,,1,5.7,0.366,2.94
CVD-0015336,,Clc1ccc(CC(=O)Nc2cncc3cnccc23)cc1Cl,1.85,1.85,,1,5.7,0.365,2.93
CVD-0015332,,Clc1ccc2OCC(C(=O)N(C(=O)C=C)c3cncc4ccccc34)c2c1,0.0511,0.0511,,1,7.3,0.378,3.86
CVD-0015328,,COC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,0.186,0.186,,1,6.7,0.362,3.58
CVD-0015327,,Clc1ccc2OCCC(C(=O)Nc3cncc4[nH]c(=O)[nH]c34)c2c1,62.8,62.8,,1,4.2,0.245,2.69
CVD-0015326,,Cn1c2c(NC(=O)C3CCOc4ccc(Cl)cc34)cncc2[nH]c1=O,20.7,20.7,,1,4.7,0.262,3.12
CVD-0015283,,Clc1ccc(cc1Cl)C1NC(=O)N(C1=O)c1cncc2ccccc12,8.46,8.46,,1,5.1,0.284,1.72
CVD-0015282,,Clc1ccc(cc1Cl)C(NCC1CC1)C(=O)Nc1cncc2ccccc12,1.75,1.75,,1,5.8,0.299,1.34
CVD-0015281,,CC(=O)NC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,4.05,4.05,,1,5.4,0.29,2.37
CVD-0015280,,CN(C)C(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,4.27,4.27,,1,5.4,0.301,1.35
CVD-0015279,,NC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,3.38,3.38,,1,5.5,0.333,2.27
CVD-0015261,,COCCOC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,0.872,0.872,,1,6.1,0.314,2.15
CVD-0015259,,COC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,1.08,1.08,,1,6,0.348,2.01
CVD-0015227,,Clc1ccc2OCCC(C(=O)N(C(=O)C=C)c3cncc4ccccc34)c2c1,0.23,0.122,2.45,2,6.9,0.346,3.2
CVD-0015227,,Clc1ccc2OCCC(C(=O)N(C(=O)C=C)c3cncc4ccccc34)c2c1,0.0646,0.122,2.45,2,6.9,0.346,3.2
CVD-0015226,,OCC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,19.3,19.3,,1,4.7,0.275,1.43
CVD-0015223,,Clc1ccc(cc1Cl)C(C#N)C(=O)Nc1cncc2ccccc12,0.803,0.803,,1,6.1,0.356,2.28
CVD-0015221,,FC(F)(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,1.49,1.49,,1,5.8,0.34,1.03
CVD-0015220,,CNC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,4.76,4.76,,1,5.3,0.31,1.69
CVD-0015219,,OC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,2.01,2.01,,1,5.7,0.347,2.39
CVD-0015218,,CC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,0.759,0.759,,1,6.1,0.372,1.55
CVD-0015217,,Clc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,1.37,1.37,,1,5.9,0.373,1.84
CVD-0015216,,CCOc1c(Cl)cccc1CC(=O)Nc1cncc2ccccc12,6.96,6.96,,1,5.2,0.301,1.54
CVD-0015214,,Cn1cnc2cncc(NC(=O)C3CCOc4ccc(Cl)cc34)c12,13,13,,1,4.9,0.285,3.03
CVD-0015213,,NC[C@@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,82.2,82.2,,1,4.1,0.22,1.58
CVD-0015097,,CC(=O)C(=O)N1CCN(Cc2cccc(Cl)c2)CC1,> 99.5,> 99.5,,1,< 4.0,< 0.295,< 2.17
CVD-0015096,,OC(=O)c1ccncc1NC(=O)Cc1cccc(c1)C(F)(F)F,> 99.5,> 99.5,,1,< 4.0,< 0.244,< 1.10
CVD-0015095,,OC(=O)c1ccncc1NC(=O)Cc1cccc(Cl)c1,> 99.5,> 99.5,,1,< 4.0,< 0.280,< 1.37
CVD-0015093,,Fc1cccc(CCNC(=O)C(N(C(=O)c2c[nH]cn2)c2ccc(Cl)cc2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.165,< 0.898
CVD-0015092,,CNC(=O)CC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,3.33,3.33,,1,5.5,0.264,3.05
CVD-0015091,,CN(C)C(=O)CC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,2.92,2.92,,1,5.5,0.258,2.88
CVD-0015066,,Fc1cc2OCCC(C(=O)Nc3cncc4ccccc34)c2cc1Cl,0.161,0.184,1.21,2,6.7,0.377,3.26
CVD-0015066,,Fc1cc2OCCC(C(=O)Nc3cncc4ccccc34)c2cc1Cl,0.21,0.184,1.21,2,6.7,0.377,3.26
CVD-0015057,,COc1ccccc1CC(=O)Nc1cncc2ccccc12,35,35,,1,4.5,0.284,1.8
CVD-0015056,,Cc1ccccc1CC(=O)Nc1cncc2ccccc12,29.5,29.5,,1,4.5,0.302,1.2
CVD-0015055,,Fc1ccccc1CC(=O)Nc1cncc2ccccc12,24.7,24.7,,1,4.6,0.307,1.65
CVD-0015054,,Clc1ccccc1CC(=O)Nc1cncc2ccccc12,> 99.5,> 99.5,,1,< 4.0,< 0.267,< 0.581
CVD-0015052,,Clc1cnccc1CC(=O)Nc1cncc2ccccc12,52.6,52.6,,1,4.3,0.285,2.08
CVD-0015051,,Clc1ccc(CC(=O)Nc2cncc3ccccc23)nc1,12.2,12.2,,1,4.9,0.327,2.32
CVD-0015050,,FC(F)(F)c1ccc(CC(=O)Nc2cncc3ccccc23)cc1,24.8,24.8,,1,4.6,0.269,0.91
CVD-0015049,,FC(F)(F)c1cccc(CC(=O)Nc2cncc3ccccc23)c1,6.94,6.94,,1,5.2,0.301,1.46
CVD-0015048,,Clc1cncc(CC(=O)Nc2cncc3ccccc23)c1,0.998,0.998,,1,6,0.4,3.8
CVD-0015046,,Fc1ccc(F)c(CC(=O)Nc2cncc3ccccc23)c1,1.71,1.71,,1,5.8,0.367,2.66
CVD-0015045,,Fc1cccc(CC(=O)Nc2cncc3ccccc23)c1F,13.2,13.2,,1,4.9,0.311,1.78
CVD-0015042,,Fc1c(Cl)cccc1CC(=O)Nc1cncc2ccccc12,23.6,23.6,,1,4.6,0.295,1.06
CVD-0015041,,Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(c1)C#N,0.43,0.431,1,2,6.4,0.387,3.09
CVD-0015041,,Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(c1)C#N,0.431,0.431,1,2,6.4,0.387,3.09
CVD-0015040,,Fc1cc(F)cc(CC(=O)Nc2cncc3ccccc23)c1,0.569,0.569,,1,6.2,0.397,3.14
CVD-0015038,,Fc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,0.398,0.383,1.06,2,6.4,0.408,2.85
CVD-0015038,,Fc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,0.368,0.383,1.06,2,6.4,0.408,2.85
CVD-0015037,,Cc1cccc(CC(=O)Nc2cncc3ccccc23)c1,4.8,4.8,,1,5.3,0.355,1.99
CVD-0015036,,O=C(Cc1cccc(c1)C#N)Nc1cncc2ccccc12,1.83,1.83,,1,5.7,0.365,3.06
CVD-0015035,,COc1cccc(CC(=O)Nc2cncc3ccccc23)c1,30.5,30.5,,1,4.5,0.287,1.86
CVD-0015034,,Fc1cccc(CC(=O)Nc2cncc3ccccc23)c1,1.85,1.85,,1,5.7,0.382,2.77
CVD-0015033,,Fc1cc(CC(=O)Nc2cncc3ccccc23)ccc1Cl,2.03,2.03,,1,5.7,0.362,2.13
CVD-0015032,,Cc1ccc(CC(=O)Nc2cncc3ccccc23)cc1Cl,1.09,1.09,,1,6,0.379,2.03
CVD-0015031,,Fc1ccc(CC(=O)Nc2cncc3ccccc23)cc1,4.97,4.97,,1,5.3,0.354,2.34
CVD-0015030,,Fc1ccc(CC(=O)Nc2cncc3ccccc23)cc1Cl,0.353,0.374,1.08,2,6.4,0.409,2.86
CVD-0015030,,Fc1ccc(CC(=O)Nc2cncc3ccccc23)cc1Cl,0.396,0.374,1.08,2,6.4,0.409,2.86
CVD-0015029,,O=C(Cc1ccc(cc1)C#N)Nc1cncc2ccccc12,> 99.5,> 99.5,,1,< 4.0,< 0.255,< 1.33
CVD-0015028,,COc1ccc(CC(=O)Nc2cncc3ccccc23)cc1,72.5,72.5,,1,4.1,0.263,1.48
CVD-0015027,,Cc1ccc(CC(=O)Nc2cncc3ccccc23)cc1,58.4,58.4,,1,4.2,0.282,0.903
CVD-0015026,,Clc1ccc(CC(=O)Nc2cncc3ccccc23)cc1,23.7,23.7,,1,4.6,0.308,1.2
CVD-0015025,,O=C(Cc1ccccc1)Nc1cncc2ccccc12,14,14,,1,4.9,0.34,2.04
CVD-0015024,,Clc1cc2NCCC(C(=O)Nc3cncc4ccccc34)c2cc1Cl,0.154,0.154,,1,6.8,0.382,3.25
CVD-0015022,,Clc1cc(Cl)c2OCCC(C(=O)Nc3cncc4ccccc34)c2c1,0.266,0.265,1,2,6.6,0.368,2.64
CVD-0015022,,Clc1cc(Cl)c2OCCC(C(=O)Nc3cncc4ccccc34)c2c1,0.265,0.265,1,2,6.6,0.368,2.64
CVD-0015014,,OC1(CC(=O)Nc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,20.8,20.8,,1,4.7,0.252,2.72
CVD-0015013,,Clc1ccc2C(CCOc2c1Cl)C(=O)Nc1cncc2ccccc12,3.31,3.31,,1,5.5,0.307,1.54
CVD-0015012,,Clc1cc2OCCC(C(=O)Nc3cncc4ccccc34)c2cc1Cl,0.219,0.205,1.09,2,6.7,0.374,2.75
CVD-0015012,,Clc1cc2OCCC(C(=O)Nc3cncc4ccccc34)c2cc1Cl,0.193,0.205,1.09,2,6.7,0.374,2.75
CVD-0015011,,CN(C)c1ccc(nc1)N(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,0.287,0.287,,1,6.5,0.295,2.05
CVD-0014978,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cc(=O)[nH][nH]1,39.7,39.7,,1,4.4,0.162,1.77
CVD-0014977,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1nc(CN2CCOCC2)cs1,> 99.5,> 99.5,,1,< 4.0,< 0.127,< -1.08
CVD-0014976,,Cn1c(c[nH]c1=O)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.144,< -0.0940
CVD-0014975,,Cn1cc(C(=O)N(C(C(=O)NCCc2cccc(F)c2)c2cccnc2)c2ccc(cc2)C(C)(C)C)n(C)c1=O,> 99.5,> 99.5,,1,< 4.0,< 0.140,< -0.318
CVD-0014974,,Cn1cnc(n1)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,74.2,74.2,,1,4.1,0.152,-0.483
CVD-0014972,,COCCn1nc(ccc1=O)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.130,< -0.450
CVD-0014971,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]c(=O)[nH]1,15.9,15.9,,1,4.8,0.177,0.926
CVD-0014970,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1[nH]nc(O)c1CCO,> 99.5,> 99.5,,1,< 4.0,< 0.137,< 2.00
CVD-0014969,,Cn1cc(ncc1=O)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.140,< -0.168
CVD-0014968,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cnco1,4.78,4.78,,1,5.3,0.201,1.22
CVD-0014965,,Cn1ncc(n1)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,17.6,17.6,,1,4.8,0.175,0.373
CVD-0014964,,COc1c([nH]c(=O)[nH]c1=O)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.133,< 0.751
CVD-0014963,,Cc1cnoc1C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.147,< -1.04
CVD-0014962,,CO[C@@H]1COC[C@H]1n1cc(nn1)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.127,< -0.528
CVD-0014961,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1nnc(S)[nH]c1=O,> 99.5,> 99.5,,1,< 4.0,< 0.140,< -0.595
CVD-0014960,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cncs1,24.2,24.2,,1,4.6,0.175,-0.419
CVD-0014959,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1nnc(O)cc1O,> 99.5,> 99.5,,1,< 4.0,< 0.140,< 0.586
CVD-0014958,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cc(=O)[nH]c(=O)[nH]1,> 99.5,> 99.5,,1,< 4.0,< 0.140,< 0.617
CVD-0014957,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cc(CO)[nH]n1,18.8,18.8,,1,4.7,0.17,0.945
CVD-0014956,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cn(nn1)C1COCC1=O,19.5,19.5,,1,4.7,0.153,0.359
CVD-0014955,,COCc1nc(C)c(s1)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.137,< -1.11
CVD-0014954,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1n[nH]c(=O)[nH]c1=O,> 99.5,> 99.5,,1,< 4.0,< 0.140,< 0.553
CVD-0014953,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1nc2ncc(CCO)cn2n1,> 99.5,> 99.5,,1,< 4.0,< 0.127,< -0.871
CVD-0014952,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]c(=O)cn1,77.1,77.1,,1,4.1,0.148,0.166
CVD-0014951,,Cc1cn2nnc(C(=O)N(C(C(=O)NCCc3cccc(F)c3)c3cccnc3)c3ccc(cc3)C(C)(C)C)c2c(=O)[nH]1,> 99.5,> 99.5,,1,< 4.0,< 0.130,< -0.0574
CVD-0014950,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cc(=O)n2ncnc2[nH]1,> 99.5,> 99.5,,1,< 4.0,< 0.133,< -0.252
CVD-0014949,,Cn1cc(cn1)-c1cc(on1)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.130,< -0.987
CVD-0014948,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cnc(s1)C1CCOC1,> 99.5,> 99.5,,1,< 4.0,< 0.133,< -1.29
CVD-0014947,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ccc(=O)[nH]n1,> 99.5,> 99.5,,1,< 4.0,< 0.144,< -0.273
CVD-0014946,,Cn1nncc1C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.147,< -0.208
CVD-0014945,,Cn1nc(cc1C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C)C(=O)N1CCOCC1,92.1,92.1,,1,4,0.123,-0.0209
CVD-0014944,,Cn1nc2CCS(=O)(=O)Cc2c1C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.127,< 0.586
CVD-0014943,,Cn1c(cc2c1n(C)c(=O)n(C)c2=O)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.122,< -0.416
CVD-0014942,,COc1cc(sn1)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.144,< -1.78
CVD-0014941,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1sc(nc1Cl)N1CCOCC1,> 99.5,> 99.5,,1,< 4.0,< 0.127,< -2.43
CVD-0014940,,CCOC(=O)Cn1cc(nn1)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,44,44,,1,4.4,0.142,-0.301
CVD-0014939,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1[nH]c(=O)[nH]c(=O)c1F,(IC50 could not be calculated),,,,,,
CVD-0014938,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ocnc1C(F)(F)F,> 99.5,> 99.5,,1,< 4.0,< 0.137,< -1.37
CVD-0014937,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cc(=O)c2c(O)cccc2o1,> 99.5,> 99.5,,1,< 4.0,< 0.127,< -2.25
CVD-0014936,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1nc2cnccc2s1,> 99.5,> 99.5,,1,< 4.0,< 0.137,< -1.54
CVD-0014935,,CC(O)Cc1c([nH][nH]c1=O)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.133,< 1.58
CVD-0014934,,CCc1nc(sc1C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C)-c1nnc[nH]1,> 99.5,> 99.5,,1,< 4.0,< 0.127,< -1.19
CVD-0014933,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]nn1,1.17,1.17,,1,5.9,0.224,1.77
CVD-0014932,,Cn1c2nc(ccc2c(=O)[nH]c1=O)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.125,< -0.642
CVD-0014931,,Cn1cnc(cc1=O)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.140,< 0.0959
CVD-0014930,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cn(CCN2CCOCC2)nn1,10.5,10.5,,1,5,0.155,0.503
CVD-0014928,,CN1CCn2nc(cc2S1(=O)=O)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.127,< -0.0262
CVD-0014927,,Cc1nc(nn1-c1nnc[nH]1)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.130,< 0.0794
CVD-0014926,,Cc1nc(oc1C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C)C1CC1,> 99.5,> 99.5,,1,< 4.0,< 0.137,< -1.14
CVD-0014925,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1nc(=O)[nH][nH]1,> 99.5,> 99.5,,1,< 4.0,< 0.147,< 0.262
CVD-0014924,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1nc2CCCc2s1,> 99.5,> 99.5,,1,< 4.0,< 0.140,< -2.29
CVD-0014923,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cnc(o1)C(C)(C)CF,> 99.5,> 99.5,,1,< 4.0,< 0.133,< -1.64
CVD-0014922,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1scnc1Cl,> 99.5,> 99.5,,1,< 4.0,< 0.147,< -1.86
CVD-0014921,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]c(=O)s1,29.1,29.1,,1,4.5,0.167,-0.147
CVD-0014920,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cc(on1)C1(O)COC1,26.2,26.2,,1,4.6,0.153,0.671
CVD-0014918,,CC1CCN(CC(=O)Nc2cnccc2C)CC1,49.2,49.2,,1,4.3,0.335,2.77
CVD-0014917,,CC(=O)N1CCN(CC(=O)Nc2cnccc2-c2ccccc2)CC1,> 99.5,> 99.5,,1,< 4.0,< 0.224,< 3.40
CVD-0014916,,CC(=O)N1CCN(CC(=O)Nc2cnccc2C2CC2)CC1,> 99.5,> 99.5,1,2,< 4.0,< 0.255,< 4.26
CVD-0014916,,CC(=O)N1CCN(CC(=O)Nc2cnccc2C2CC2)CC1,> 99.5,> 99.5,1,2,< 4.0,< 0.255,< 4.26
CVD-0014915,,Clc1ccc2OC[C@H](C(=O)Nc3cncc4ccccc34)c2c1,> 99.5,> 26.9,6.34,2,< 4.6,< 0.278,< 1.53
CVD-0014915,,Clc1ccc2OC[C@H](C(=O)Nc3cncc4ccccc34)c2c1,7.3,> 26.9,6.34,2,< 4.6,< 0.278,< 1.53
CVD-0014914,,Clc1ccc2OC[C@@H](C(=O)Nc3cncc4ccccc34)c2c1,0.483,0.555,1.18,3,6.3,0.381,3.21
CVD-0014914,,Clc1ccc2OC[C@@H](C(=O)Nc3cncc4ccccc34)c2c1,0.67,0.555,1.18,3,6.3,0.381,3.21
CVD-0014914,,Clc1ccc2OC[C@@H](C(=O)Nc3cncc4ccccc34)c2c1,0.529,0.555,1.18,3,6.3,0.381,3.21
CVD-0014910,,O[C@]1(CCSC1)C(=O)NC[C@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,1.94,1.94,,1,5.7,0.235,3.34
CVD-0014909,,NS(=O)(=O)c1[nH]ncc1C(=O)NC[C@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,1.99,1.99,,1,5.7,0.216,4.02
CVD-0014864,,CN(C)C(=O)C(CNC(=O)[C@H](N1Cc2ccccc2C1=O)c1ccccc1)c1ccccc1,> 99.5,> 99.5,,1,< 4.0,< 0.170,< 1.12
CVD-0014863,,CNCC1CCCN(C1)C(=O)[C@H](N1Cc2ccccc2C1=O)c1ccccc1,> 99.5,> 99.5,,1,< 4.0,< 0.200,< 1.78
CVD-0014862,,O=C(Nc1cccnc1)[C@H](N1Cc2ccccc2C1=O)c1ccccc1,> 99.5,> 99.5,,1,< 4.0,< 0.216,< 1.35
CVD-0014861,,Fc1cccc(NC(=O)[C@H](N2Cc3ccccc3C2=O)c2ccccc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.208,< -0.0117
CVD-0014860,,O=C(Nc1ccccc1C#N)[C@H](N1Cc2ccccc2C1=O)c1ccccc1,> 99.5,> 99.5,,1,< 4.0,< 0.200,< 0.275
CVD-0014859,,O=C(NCCc1ccccc1)[C@H](N1Cc2ccccc2C1=O)c1ccccc1,> 99.5,> 99.5,,1,< 4.0,< 0.200,< 0.135
CVD-0014858,,O=C(NCC1=SC=CC1)[C@H](N1Cc2ccccc2C1=O)c1ccccc1,> 99.5,> 99.5,,1,< 4.0,< 0.216,< 0.511
CVD-0014857,,COCCNC(=O)[C@H](N1Cc2ccccc2C1=O)c1ccccc1,> 99.5,> 99.5,,1,< 4.0,< 0.233,< 2.20
CVD-0014856,,Fc1ccc(NC(=O)[C@H](N2Cc3ccccc3C2=O)c2ccccc2)cc1,> 99.5,> 99.5,,1,< 4.0,< 0.208,< -0.0117
CVD-0014855,,O=C(Nc1ccncc1)[C@H](N1Cc2ccccc2C1=O)c1ccccc1,> 99.5,> 99.5,,1,< 4.0,< 0.216,< 1.35
CVD-0014854,,Cc1cccc(NC(=O)[C@H](N2Cc3ccccc3C2=O)c2ccccc2)n1,> 99.5,> 99.5,,1,< 4.0,< 0.208,< 0.623
CVD-0014853,,Clc1ccc(NC(=O)[C@H](N2Cc3ccccc3C2=O)c2ccccc2)cc1,> 99.5,> 99.5,,1,< 4.0,< 0.208,< -0.473
